month,day,hour,GHI,DNI,DHI,Tair,RH,WS
1,1,0,0.0,0.0,0.0,1.5,60.589947906532096,0.7862066981415238
1,1,1,0.0,0.0,0.0,-0.4,56.390049282347235,0.03681285080968856
1,1,2,0.0,0.0,0.0,2.7,54.97558298042117,0.6534609840138207
1,1,3,0.0,0.0,0.0,3.6,50.80426970117698,2.3554069781793316
1,1,4,0.0,0.0,0.0,0.1,44.43350545761049,0.009143666859324735
1,1,5,0.0,0.0,0.0,2.0,52.97553325893463,0.24276696988868807
1,1,6,0.0,0.0,0.0,5.2,69.04052867340513,0.9277084627754417
1,1,7,0.0,0.0,0.0,4.8,55.75583057302823,2.0859785515145233
1,1,8,63.4,226.5,20.4,7.1,56.53981316305958,1.9904399890321611
1,1,9,95.3,151.4,44.5,6.5,56.34514800285353,1.801688835602524
1,1,10,81.2,76.7,47.1,9.8,72.44707665832735,2.478066471818593
1,1,11,73.7,91.6,27.5,7.8,50.716174294686624,0.036577630802154884
1,1,12,126.5,163.2,42.0,8.4,62.77053338389994,0.2708377746836231
1,1,13,57.7,65.0,26.5,9.4,59.31533866429836,5.927433631084332
1,1,14,75.3,116.0,29.8,11.7,60.679268250947686,0.7962008671221882
1,1,15,23.2,43.7,11.7,6.6,62.443504071164504,3.4041951105312314
1,1,16,39.7,176.0,21.6,6.8,60.5716494026807,0.1509758419166314
1,1,17,0.0,0.0,0.0,4.8,67.9302188665092,1.2836629150195247
1,1,18,0.0,0.0,0.0,3.8,59.70742672037071,1.5585700839347538
1,1,19,0.0,0.0,0.0,4.9,77.44376393425698,2.512835806930867
1,1,20,0.0,0.0,0.0,4.1,60.44479938966846,4.93880775270969
1,1,21,0.0,0.0,0.0,3.0,42.9653311739973,1.303453170249571
1,1,22,0.0,0.0,0.0,0.5,66.38310358143731,0.41921104591228936
1,1,23,0.0,0.0,0.0,1.5,63.92096805259782,1.5741958963319989
1,2,0,0.0,0.0,0.0,1.2,60.32545031761924,0.1350278307658789
